tfidf_svm_0,tfidf_svm_1,tfidf_svm_2,tfidf_svm_3,tfidf_svm_4,tfidf_svm_5,tfidf_svm_6
-1.0120025760194147,-0.7046044486765677,-1.112929629926636,-0.6990961160110579,-0.9507274640110144,-1.0341745428263507,-1.0323991708836264
-0.9097269996235142,-0.5251503200608373,-1.0258298014482037,-0.6871694836439223,-0.9754509482528333,-1.06605043989781,-1.0057354389662712
-1.014078329353833,-0.6801909509422844,-0.9675042941569186,-0.8529732777849643,-0.9234891439362544,-0.9169331477174881,-1.0122391074512904
-0.8998549331693585,0.5500209800303879,-1.2822560176976374,-1.2273922392965027,-0.9258926258583586,-1.006466053610724,-1.008595189545622
-1.0486659419958482,-0.7775861666701369,-0.5105657325592683,-0.877044416882208,-0.9862689839610147,-1.059775436252587,-1.0580706023671023
-0.9785719343355173,-1.1960594228328154,-0.9434040751130348,-0.6211258343178184,-0.9329388155695648,-0.971798955256044,-0.9826332933148071
-1.0693919439179047,-0.8060408543222344,-0.7505197612541252,-0.9694150909686657,-0.8946205550231916,-0.9553086705899521,-1.0275578483352177
-1.017466478441708,-0.599125468538493,-1.3560637478023145,-0.5764732358201197,-0.7640779334537058,-1.057982135233631,-1.0309121395174206
-1.0606386920268271,0.26555479214847494,-0.7015737558600108,-1.0975513018910992,-1.0655239361723483,-0.9644824126987589,-1.0187667361826072
-1.0111232875679346,0.19393447057239094,-0.9333987345181862,-1.1719023575928884,-0.8666948583054244,-1.0710792480592344,-1.0491556491257632
-1.0271735127023898,0.029149531387343386,-0.8401869996177704,-0.961231401440904,-1.131844096858853,-0.9537514631395073,-1.0097408460865518
-0.9978522366647494,1.1955595336786424,-0.9805587273743227,-1.441323638644779,-1.0476532628663588,-1.030593763489149,-0.9797306165701306
-0.9686773439106295,-1.130561267285274,-0.6875828641539516,-0.9915425805446557,-0.8359226720878314,-1.0541087121320039,-1.0048791282733611
-1.0337774065411074,-0.4784288879505019,-0.7854892933306551,-0.7860307982713186,-0.9051247128186029,-1.1292480895198211,-0.9847678952982245
-1.057060789259923,-0.09106768363958845,-0.6781316020341361,-1.013516189649777,-1.0679261549542054,-1.008758154449393,-1.0169859675477297
-0.9857180299909283,-1.56592712697713,-0.6467890601209141,-0.7169630868993574,-0.8234702545250545,-0.9751520288573973,-1.00306421695683
-0.9780723746157071,-0.02188373385317033,-0.4727244072386927,-1.0880155040540032,-1.2455345555440949,-0.9623937846348325,-1.0229469784475902
-1.019691543494881,-0.11029796414703485,-0.9016166858606951,-0.9337252060414848,-0.9980607868531515,-1.0381544131802756,-1.004377344496109
-1.0205467005980484,0.24507505634294374,-0.41069924298220667,-1.2202113884254557,-1.082280438632396,-1.0042644010339945,-1.0555853581476158
-1.031509952560161,-0.8589629125691489,-0.5352024198061354,-0.865856230843945,-1.026867776396778,-1.0505598709649209,-1.0439168669666632
-0.9798766198806201,-0.9274565485274393,-1.0217187741375462,-0.7594895916484481,-0.952108545565245,-0.9780964674436821,-1.0264084583829358
-1.0527266315349444,0.7937670791550824,-0.9593388049911369,-1.2391766450480155,-0.9296501191419818,-1.024635030482319,-1.0297527779187141
-0.9041417664670024,-0.6845524889219092,-1.183305786020941,-0.7977011653463797,-0.9655243772495771,-0.8961590152131662,-0.9944533724506387
-1.006183289509875,0.1749423677985717,-0.6721225011259427,-1.3099347922480766,-1.030079714154684,-1.0067386584187825,-1.0274687483821177
-1.051634398759573,-0.12371933441616667,-1.1403927659185105,-0.6334996740849702,-1.1169092126778637,-1.0339591302220719,-1.0255916623823957
-0.9680243104643299,-0.2998356801463987,-0.6590607870313915,-1.0639358670082646,-1.0845896024982151,-0.9500731651944873,-1.0545784538380092
-0.9479556232186176,0.3527244644912689,-0.7958881118263581,-1.1427599903415762,-1.0709776454437152,-1.0869627978852576,-1.0234416453311488
-0.9883026459710018,0.47011490384686877,-0.8207296267091941,-1.0587561337092064,-1.052384052055287,-1.128757669914903,-1.0168603593229562
-0.9673180956549915,-0.7097088685888764,-0.6977316144972664,-0.8470934210905049,-0.945138903332985,-1.1041415700634034,-0.9975047137044565
-0.9306835916567966,0.005962373563915546,-1.1300094753303482,-0.9704096084306089,-1.0507459769127236,-0.988644172711919,-1.0069787961063772
-1.0516572614354314,-0.7217177043043148,-0.6992053021866108,-0.9019767209408198,-0.8481546928339382,-1.0259485803831356,-1.043348206851556
-0.998281972116073,-0.9633357356804175,0.08119645760945293,-0.9555195973379292,-1.1471034813786651,-1.1034035042190546,-1.0595212966362917
-0.9918514063840556,0.2456281562053872,-0.8155266493306241,-0.9059125025379761,-1.234288699881847,-1.01942494990489,-1.0275119962159163
-1.0178667218015236,-0.027408724902528325,-0.8870678565881241,-0.9314531371694856,-0.8747603002016354,-1.1036357913599313,-1.033881399367345
-1.0049300150576082,-0.5127036155726991,-0.19192647109629113,-1.0182427061677992,-1.054744503597362,-1.056224083370959,-1.0248330294052657
-1.008375243151597,-0.49737331374619365,-0.6217435533885982,-0.9348677871372315,-1.0445108758649362,-1.0697378198910108,-1.0252037293352574
-1.035095956421882,-0.7553394513483193,-0.5330627107814276,-1.0981514439957574,-1.0224243457902107,-0.9348875953027603,-1.046771428798357
-0.9811466437216484,-0.909696172821896,-0.8731673314676959,-0.7831146076545978,-0.962575301351004,-0.9621110566747294,-0.9828255193844778
-0.9780042197345352,0.8965192414972463,-1.2986960155103073,-0.9385233756368943,-1.1226126283032107,-0.9863662690945546,-1.0507865027114083
-0.9419890605228765,0.7092843908381161,-1.2874345416409667,-1.139030191360735,-1.0109544624109699,-0.9612249938596197,-1.0479103965678274
-0.955693291309855,-1.050029053045975,-0.8673870723980246,-0.8916252685839827,-0.7504359291308523,-0.9528937360706636,-1.0137020499767262
-1.000122048496642,-1.2420177388477507,-0.8694300467042644,-0.5144100596166084,-0.9994213166655809,-1.0356517918329704,-1.029896140674453
-1.0084139069429778,-0.11211705685640982,-1.1311204340290635,-0.877408525923388,-0.9030683823761722,-1.0185092803259832,-1.01609438365577
-1.0449984626818334,-0.9130069797397968,0.34148385027434436,-1.139208908593707,-1.049418481083428,-1.0367011369034793,-1.0244290005463241
-1.0189858722469638,-1.057058391465456,-1.0215093096545618,-0.5879157936102777,-0.9089268185958989,-0.8850248931784723,-1.0291267372883262
-0.9908617884434484,0.37850656562260493,-0.7005840888553492,-1.0422083641820798,-1.0674104556403903,-1.0727964984083342,-1.012045716141672
-0.9902036716288138,-0.5262684762262095,-0.7271509612966248,-0.9466962387708627,-1.0674290271069542,-1.0541192877742211,-1.016978044824675
-1.0303012899597837,0.09711519141589892,-0.9708990023428863,-0.9489495204478969,-1.0353411068987894,-1.0453955202840992,-1.0318940577734812
-1.024321517586539,0.1923445649904298,-0.9476784031194869,-1.1053770025026808,-0.9489899461927515,-1.0814526947242604,-1.0215290768402885
-0.9718148280715634,-0.7914755423573134,-0.842339608119573,-0.8112960845837982,-1.0762551303463679,-0.9890360471801788,-0.9735948397013876
-1.0639358365241103,-0.5714819263928943,-0.8015961338326909,-0.950326787266878,-0.879869927216881,-1.049008878528006,-1.0102545607560394
-0.9980319022910316,-0.9682627229061085,-1.2000641928280356,-0.2539582132582585,-0.926470585590088,-1.0108928880583135,-1.0187514214856874
-1.0569633520576165,-0.8120368451455867,-0.7225179892170494,-0.9011591394083036,-0.9343655710283689,-1.0208123655391488,-1.0114624838057498
-0.9785212083667413,-0.1631952146854107,-0.9106669070381828,-1.0085897809338713,-0.9013925547637994,-0.9858596481916154,-1.0351586981603789
-0.9488673886255299,0.7384033337346478,-1.5800008894459916,-0.9170963301278272,-0.9109512193836626,-1.061304624157038,-1.0187635146287628
-1.013471905926666,0.6585852160464227,-1.0022963041589992,-1.1477155293764858,-0.9358647903830746,-0.9890507577109091,-1.0366780900174608
-0.9600376611242992,-0.6346631639611866,-0.5653209912828455,-0.8558468767054739,-1.0130097372436784,-1.03570769883694,-1.022179052251477
-1.006916811455054,0.6399248360732026,-1.2222591840540724,-0.8462539963883611,-1.0092490689698344,-1.0773170476960232,-1.021438836229998
